ISO3,Country_Raw,Year,New_Infections,Predicted_Infections,EDI_Raw,ART_Coverage
AFG,AFG,2010.0,610.0,675.9191092666513,-0.43773253468106027,1.0
AFG,AFG,2011.0,670.0,719.2201620232399,-0.3074421525916865,3.0
AFG,AFG,2012.0,680.0,775.5991811827354,-0.5542968898565205,3.0
AFG,AFG,2013.0,790.0,789.0453387736526,0.005442136668868169,4.0
AFG,AFG,2014.0,870.0,893.5943113680041,-0.1189437019332421,5.0
AFG,AFG,2015.0,950.0,964.2780353464399,-0.06675787380925391,5.0
AGO,AGO,2010.0,27000.0,26798.440113427096,0.034260138453984096,9.0
AGO,AGO,2011.0,28000.0,26731.0830224455,0.21622741354685687,10.0
AGO,AGO,2012.0,28000.0,27592.158606321926,0.06732943724066162,12.0
AGO,AGO,2013.0,27000.0,27487.528818361785,-0.08079106503179426,17.0
AGO,AGO,2014.0,27000.0,26209.826036706017,0.13732491060238192,22.0
AGO,AGO,2015.0,26000.0,25818.228378350326,0.032069174769191834,24.0
ALB,ALB,2010.0,100.0,102.0677415857964,-0.08415079075148298,20.0
ALB,ALB,2011.0,100.0,101.76279634972711,-0.0719372084186372,24.0
ALB,ALB,2012.0,100.0,100.0605095876054,-0.0025077070086061536,30.0
ALB,ALB,2013.0,100.0,99.38211406853607,0.02576681839005452,38.0
ALB,ALB,2014.0,100.0,98.57649099620602,0.05980549536045298,39.0
ALB,ALB,2015.0,200.0,97.28750163204279,4.3673747320857705,43.0
ARE,ARE,2010.0,100.0,133.30686126643536,-1.0590316631852845,23.0
ARE,ARE,2011.0,100.0,135.32605231561718,-1.107588771472623,26.0
ARE,ARE,2012.0,100.0,137.20017019046995,-1.1514632297493437,33.0
ARE,ARE,2013.0,100.0,138.83267408703497,-1.1887795138007622,34.0
ARE,ARE,2014.0,100.0,140.85135150708237,-1.2338046512337708,24.0
ARE,ARE,2015.0,100.0,143.6751288287156,-1.2947997837021745,24.0
ARG,ARG,2010.0,5400.0,5179.763084705964,0.19336335460158052,46.0
ARG,ARG,2011.0,5400.0,5083.070503647383,0.2835397728423457,49.0
ARG,ARG,2012.0,5400.0,5071.34747451515,0.29470603106730087,52.0
ARG,ARG,2013.0,5400.0,5046.220039130446,0.3188144919988629,55.0
ARG,ARG,2014.0,5300.0,5014.879219007987,0.2585436297860434,58.0
ARG,ARG,2015.0,5300.0,4925.375430282639,0.3458645847327413,61.0
ARM,ARM,2010.0,500.0,464.25463438955387,0.34326127666243633,14.0
ARM,ARM,2011.0,500.0,463.6539904322871,0.3494716974437587,15.0
ARM,ARM,2012.0,500.0,462.8209050418882,0.3581115819803438,18.0
ARM,ARM,2013.0,500.0,465.6718235378471,0.32867024232218633,21.0
ARM,ARM,2014.0,500.0,462.2110176758251,0.36445601376136955,23.0
ARM,ARM,2015.0,500.0,458.8962216605064,0.3992271373178096,27.0
AUS,AUS,2010.0,1000.0,1019.902458112364,-0.08803070734913937,62.0
AUS,AUS,2011.0,1000.0,1019.4370906601777,-0.08601119136763243,65.0
AUS,AUS,2012.0,1000.0,1020.5226656456856,-0.0907193353259117,68.0
AUS,AUS,2013.0,980.0,1018.114088995798,-0.16887586912836625,73.0
AUS,AUS,2014.0,950.0,1002.0860877360162,-0.2344368064097114,76.0
AUS,AUS,2015.0,920.0,971.8537104949073,-0.24057524900772453,80.0
AZE,AZE,2010.0,760.0,733.7027859429402,0.16106163774558432,6.0
AZE,AZE,2011.0,740.0,707.8280682969112,0.20414255105098095,9.0
AZE,AZE,2012.0,700.0,690.5934171687568,0.061156023525402614,11.0
AZE,AZE,2013.0,670.0,653.279191153313,0.11482236798890658,15.0
AZE,AZE,2014.0,640.0,626.3479131311242,0.09771562437629717,21.0
AZE,AZE,2015.0,600.0,597.1567893788322,0.021328529529466195,27.0
BDI,BDI,2010.0,4500.0,3983.315874542701,0.5895410572605619,23.0
BDI,BDI,2011.0,3800.0,4276.063131517862,-0.5060940525264939,28.0
BDI,BDI,2012.0,3500.0,3525.355281451573,-0.03267781369316982,31.0
BDI,BDI,2013.0,3100.0,3215.361811837915,-0.16296604022350744,36.0
BDI,BDI,2014.0,3000.0,2790.230422002834,0.3413148146490423,41.0
BDI,BDI,2015.0,2800.0,2631.681460911602,0.2903051359193677,49.0
BEL,BEL,2010.0,700.0,685.3027419606494,0.09627969578175904,78.0
BEL,BEL,2011.0,690.0,685.2731366043355,0.030966343571789148,83.0
BEL,BEL,2012.0,670.0,668.2971559453696,0.01143467127803811,80.0
BEL,BEL,2013.0,630.0,646.4492131967344,-0.11413217535979071,83.0
BEL,BEL,2014.0,590.0,611.3023822376196,-0.15616412090928455,84.0
BEL,BEL,2015.0,550.0,574.3179400786197,-0.18955038490164414,87.0
BEN,BEN,2010.0,4100.0,4134.830747643486,-0.038289527954912125,30.0
BEN,BEN,2011.0,3800.0,3727.407111974289,0.08850007319504678,37.0
BEN,BEN,2012.0,3700.0,3422.277645783672,0.36867590154411223,40.0
BEN,BEN,2013.0,3700.0,3298.536296220309,0.5528725786391906,35.0
BEN,BEN,2014.0,3300.0,3276.4747031684315,0.032615134727637794,40.0
BEN,BEN,2015.0,2600.0,2906.3429948514204,-0.4786057203240996,36.0
BFA,BFA,2010.0,4700.0,4483.637928538441,0.21938653905378455,29.0
BFA,BFA,2011.0,4100.0,4256.087884694727,-0.16671108419817937,34.0
BFA,BFA,2012.0,4000.0,3677.313983038668,0.3987396573265912,37.0
BFA,BFA,2013.0,3600.0,3586.8653593150434,0.016638431224814048,41.0
BFA,BFA,2014.0,3100.0,3193.0365683867535,-0.13234420924494017,47.0
BFA,BFA,2015.0,3500.0,2725.7576101581076,1.2894499165971927,53.0
BGD,BGD,2010.0,930.0,1762.486597300033,-2.1397881603941507,6.0
BGD,BGD,2011.0,990.0,1769.5133138661206,-1.9957176426466339,8.0
BGD,BGD,2012.0,1100.0,1819.9907588265683,-1.7924910590028693,9.0
BGD,BGD,2013.0,1200.0,1907.854027663143,-1.6815533935839402,11.0
BGD,BGD,2014.0,1200.0,1990.172753392186,-1.7998656824493524,12.0
BGD,BGD,2015.0,1300.0,1994.207958547193,-1.5780926698079802,13.0
BGR,BGR,2010.0,200.0,217.54335330664594,-0.35110180769387583,19.0
BGR,BGR,2011.0,200.0,216.59793314400625,-0.3335672510615887,22.0
BGR,BGR,2012.0,200.0,215.98259438300133,-0.3220758142228378,25.0
BGR,BGR,2013.0,200.0,211.0960553497627,-0.22854812207217173,28.0
BGR,BGR,2014.0,200.0,211.69644641207637,-0.24026177911890234,31.0
BGR,BGR,2015.0,200.0,209.19417067694332,-0.191018492650876,34.0
BHR,BHR,2010.0,100.0,97.32706532747311,0.11361206610183633,24.0
BHR,BHR,2011.0,100.0,90.7401613682356,0.41948794015845614,28.0
BHR,BHR,2012.0,100.0,93.98377480464701,0.2639896599409641,30.0
BHR,BHR,2013.0,100.0,95.96302466968096,0.17381203986564078,31.0
BHR,BHR,2014.0,100.0,96.92414686877413,0.13123349109149016,33.0
BHR,BHR,2015.0,100.0,96.4567955267891,0.15184094807317325,35.0
BHS,BHS,2010.0,200.0,191.34139722505975,0.1958526693585368,30.0
BHS,BHS,2011.0,200.0,189.94521976378448,0.22902275446921005,30.0
BHS,BHS,2012.0,200.0,190.72379186579892,0.21046864446985328,38.0
BHS,BHS,2013.0,200.0,190.36432087626926,0.2190172448133862,46.0
BHS,BHS,2014.0,200.0,188.6361788303582,0.2605465767354598,55.0
BHS,BHS,2015.0,200.0,186.38212037398014,0.31581369379684787,54.0
BLZ,BLZ,2010.0,200.0,501.15985164926093,-2.6832911248925844,26.0
BLZ,BLZ,2011.0,200.0,189.90052048053548,0.2300923714055752,30.0
BLZ,BLZ,2012.0,200.0,188.67079078054218,0.25970771358304523,31.0
BLZ,BLZ,2013.0,200.0,187.58828269838372,0.28608289135436027,34.0
BLZ,BLZ,2014.0,200.0,187.3899636284406,0.29094629360335156,33.0
BLZ,BLZ,2015.0,200.0,185.99093910877446,0.3255346139743306,36.0
BOL,BOL,2010.0,2000.0,1935.8592119901343,0.15017804408682164,6.0
BOL,BOL,2011.0,2100.0,1838.7270331266918,0.6438748120708429,6.0
BOL,BOL,2012.0,2100.0,1927.9478319855245,0.4044839906527513,11.0
BOL,BOL,2013.0,2100.0,1929.1547864072393,0.40139656781643485,13.0
BOL,BOL,2014.0,2100.0,1921.7855652872813,0.420307361810995,16.0
BOL,BOL,2015.0,2100.0,1921.268527240698,0.42163959483380825,23.0
BRA,BRA,2010.0,51000.0,43668.8549125336,0.7648204563099081,50.0
BRA,BRA,2011.0,55000.0,47326.671186119296,0.7386612415897986,51.0
BRA,BRA,2012.0,59000.0,50783.77601233877,0.7370911983014801,53.0
BRA,BRA,2013.0,62000.0,54450.751208831956,0.6316547756190836,56.0
BRA,BRA,2014.0,65000.0,57188.748648688794,0.6222915498026246,59.0
BRA,BRA,2015.0,67000.0,59647.53003927838,0.5616010717128354,63.0
BRB,BRB,2010.0,200.0,192.71412329073627,0.16368556118374064,38.0
BRB,BRB,2011.0,200.0,191.727245996965,0.18676680194376064,40.0
BRB,BRB,2012.0,200.0,191.69619338466947,0.18749673355948115,43.0
BRB,BRB,2013.0,200.0,190.36995226527696,0.2188830877356482,45.0
BRB,BRB,2014.0,200.0,188.83941532143743,0.2556250714345273,46.0
BRB,BRB,2015.0,200.0,187.96780689119768,0.2768029649779927,47.0
BTN,BTN,2010.0,100.0,90.28563128406309,0.44208733244769494,15.0
BTN,BTN,2011.0,100.0,89.93367147351445,0.4597291676294151,19.0
BTN,BTN,2012.0,100.0,89.56757591951006,0.47821288163261766,25.0
BTN,BTN,2013.0,100.0,89.08273140439843,0.5029039147421088,30.0
BTN,BTN,2014.0,100.0,88.42736133658858,0.5366686970908275,35.0
BTN,BTN,2015.0,100.0,87.9807478575396,0.5599391257333558,44.0
BWA,BWA,2010.0,13000.0,14063.134964101855,-0.3442298934396648,49.0
BWA,BWA,2011.0,14000.0,13896.770799601058,0.0338241710414329,54.0
BWA,BWA,2012.0,13000.0,14900.509346030687,-0.5808034852603585,61.0
BWA,BWA,2013.0,12000.0,13668.05466948545,-0.5556951993099294,65.0
BWA,BWA,2014.0,12000.0,12398.207790407274,-0.1462346126008027,67.0
BWA,BWA,2015.0,11000.0,12305.662934488786,-0.48308401518829774,72.0
CAF,CAF,2010.0,10000.0,10545.736200512923,-0.23558163348107636,11.0
CAF,CAF,2011.0,9800.0,9761.021225387327,0.018177501580010327,11.0
CAF,CAF,2012.0,9200.0,9468.842754932015,-0.12923747837971114,13.0
CAF,CAF,2013.0,9200.0,8802.714506890352,0.20541737734033574,13.0
CAF,CAF,2014.0,8100.0,8668.309606510229,-0.2983965166650512,21.0
CAF,CAF,2015.0,7500.0,7614.874835992621,-0.06864889095641663,24.0
CAN,CAN,2010.0,2100.0,2309.449330918768,-0.41142394789674147,46.0
CAN,CAN,2011.0,2000.0,2101.8650476769685,-0.21975986066836528,48.0
