Year,Country_Raw,Deaths,New_Infections,ISO3,ISO_Raw,Incidence_Lower,Incidence_Upper,GDP_Per_Capita,ART_Coverage,Health_Exp,Population
1990.0,AFG,100.0,100.0,AFG,AFG,100.0,200.0,,,,12045660.0
1991.0,AFG,100.0,100.0,AFG,AFG,100.0,200.0,,,,12238879.0
1992.0,AFG,100.0,100.0,AFG,AFG,100.0,500.0,,,,13278974.0
1993.0,AFG,100.0,200.0,AFG,AFG,100.0,500.0,,,,14943172.0
1994.0,AFG,100.0,200.0,AFG,AFG,100.0,500.0,,,,16250794.0
1995.0,AFG,100.0,200.0,AFG,AFG,100.0,500.0,,,,17065836.0
1996.0,AFG,100.0,200.0,AFG,AFG,100.0,500.0,,,,17763266.0
1997.0,AFG,100.0,200.0,AFG,AFG,100.0,500.0,,,,18452091.0
1998.0,AFG,100.0,500.0,AFG,AFG,200.0,500.0,,,,19159996.0
1999.0,AFG,100.0,500.0,AFG,AFG,200.0,500.0,,,,19887785.0
2000.0,AFG,100.0,500.0,AFG,AFG,200.0,620.0,174.930991430166,0.0,,20130327.0
2001.0,AFG,100.0,500.0,AFG,AFG,200.0,700.0,138.706821676113,0.0,,20284307.0
2002.0,AFG,100.0,500.0,AFG,AFG,200.0,780.0,178.954088379235,0.0,9.44339085,21378117.0
2003.0,AFG,200.0,500.0,AFG,AFG,200.0,950.0,198.871115728727,0.0,8.94125843,22733049.0
2004.0,AFG,200.0,500.0,AFG,AFG,200.0,1000.0,221.763653873013,0.0,9.80847359,23560654.0
2005.0,AFG,200.0,500.0,AFG,AFG,200.0,1100.0,254.184249149336,0.0,9.94828892,24404567.0
2006.0,AFG,200.0,500.0,AFG,AFG,200.0,1300.0,274.218553561575,0.0,10.62276554,25424094.0
2007.0,AFG,200.0,520.0,AFG,AFG,500.0,1600.0,376.223152003876,0.0,9.90467453,25909852.0
2008.0,AFG,200.0,540.0,AFG,AFG,500.0,1700.0,381.73323802844,0.0,10.25649548,26482622.0
2009.0,AFG,200.0,570.0,AFG,AFG,500.0,1900.0,452.053705477043,1.0,9.81848717,27466101.0
2010.0,AFG,500.0,610.0,AFG,AFG,500.0,2200.0,560.621505463146,1.0,8.56967163,28284089.0
2011.0,AFG,500.0,670.0,AFG,AFG,500.0,2500.0,606.694676337726,3.0,8.56190777,29347708.0
2012.0,AFG,500.0,680.0,AFG,AFG,500.0,2600.0,651.417134470046,3.0,7.89716864,30560034.0
2013.0,AFG,500.0,790.0,AFG,AFG,500.0,3200.0,637.087099117099,4.0,8.80596447,31622704.0
2014.0,AFG,500.0,870.0,AFG,AFG,500.0,3500.0,625.054941813938,5.0,9.52887821,32792523.0
2015.0,AFG,500.0,950.0,AFG,AFG,500.0,3900.0,565.569730408751,5.0,10.10534763,33831764.0
2016.0,AFG,500.0,1000.0,AFG,AFG,500.0,4300.0,522.082215583898,8.0,11.81859016,34700612.0
2017.0,AFG,500.0,1100.0,AFG,AFG,500.0,4800.0,525.469770891619,11.0,12.62081718,35688935.0
2018.0,AFG,500.0,1100.0,AFG,AFG,500.0,5500.0,491.337221382603,11.0,14.20841885,36743039.0
2019.0,AFG,500.0,1200.0,AFG,AFG,500.0,6200.0,496.6025042585,11.0,14.83131981,37856121.0
2020.0,AFG,500.0,1300.0,AFG,AFG,500.0,7200.0,510.787063366811,11.0,15.53361416,39068979.0
2021.0,AFG,500.0,1400.0,AFG,AFG,500.0,7200.0,356.496214115892,11.0,21.50844383,40000412.0
2022.0,AFG,540.0,1500.0,AFG,AFG,500.0,8100.0,357.261152798144,10.0,23.0881691,40578842.0
2023.0,AFG,590.0,1600.0,AFG,AFG,500.0,8700.0,413.757894705303,10.0,14.9857626,41454761.0
2024.0,AFG,620.0,1800.0,AFG,AFG,500.0,10000.0,416.871146273728,11.0,,42647492.0
1990.0,AUS,600.0,910.0,AUS,AUS,870.0,940.0,18273.561526468,,,17065128.0
1991.0,AUS,680.0,790.0,AUS,AUS,750.0,820.0,18885.4274465057,,,17284036.0
1992.0,AUS,760.0,700.0,AUS,AUS,670.0,740.0,18650.3675476612,,,17478635.0
1993.0,AUS,820.0,640.0,AUS,AUS,610.0,680.0,17724.5399501656,,,17634808.0
1994.0,AUS,860.0,610.0,AUS,AUS,580.0,650.0,18155.6282000179,,,17805468.0
1995.0,AUS,890.0,600.0,AUS,AUS,570.0,630.0,20479.1748274233,,,18004882.0
1996.0,AUS,550.0,610.0,AUS,AUS,580.0,640.0,22055.838490507,,,18224767.0
1997.0,AUS,500.0,640.0,AUS,AUS,610.0,670.0,23683.4948964934,,,18423037.0
1998.0,AUS,200.0,670.0,AUS,AUS,640.0,700.0,21516.0403147759,,,18607584.0
1999.0,AUS,100.0,720.0,AUS,AUS,680.0,750.0,20749.6443779096,,,18812264.0
2000.0,AUS,100.0,760.0,AUS,AUS,730.0,790.0,21908.9968019784,53.0,7.58869076,19028802.0
2001.0,AUS,100.0,810.0,AUS,AUS,780.0,840.0,19733.6510102645,54.0,7.67391729,19274701.0
2002.0,AUS,100.0,850.0,AUS,AUS,820.0,880.0,20335.0960191023,51.0,7.87221003,19495210.0
2003.0,AUS,100.0,890.0,AUS,AUS,860.0,920.0,23757.5898471684,51.0,7.87659502,19720737.0
2004.0,AUS,100.0,930.0,AUS,AUS,900.0,960.0,30886.0500949401,51.0,8.08257675,19932722.0
2005.0,AUS,100.0,950.0,AUS,AUS,920.0,990.0,34535.20727091,53.0,7.9648633,20176844.0
2006.0,AUS,100.0,980.0,AUS,AUS,940.0,1000.0,36658.8243476122,57.0,7.97161102,20450966.0
2007.0,AUS,100.0,990.0,AUS,AUS,960.0,1000.0,41128.2476618402,57.0,8.0517149,20827622.0
2008.0,AUS,100.0,1000.0,AUS,AUS,970.0,1000.0,49811.2067218988,55.0,8.24737453,21249199.0
2009.0,AUS,100.0,1000.0,AUS,AUS,980.0,1100.0,42954.8494884573,57.0,8.54273987,21691653.0
2010.0,AUS,100.0,1000.0,AUS,AUS,980.0,1100.0,52313.8939041213,62.0,8.4193306,22031750.0
2011.0,AUS,100.0,1000.0,AUS,AUS,980.0,1000.0,62799.3895017032,65.0,8.53425312,22340024.0
2012.0,AUS,100.0,1000.0,AUS,AUS,970.0,1000.0,68301.4402512587,68.0,8.67020702,22733465.0
2013.0,AUS,100.0,980.0,AUS,AUS,950.0,1000.0,68476.6788496118,73.0,8.7465601,23128129.0
2014.0,AUS,100.0,950.0,AUS,AUS,910.0,1000.0,62817.2061751737,76.0,9.82833862,23475686.0
2015.0,AUS,100.0,920.0,AUS,AUS,870.0,980.0,56970.3613028094,80.0,10.13642025,23815995.0
2016.0,AUS,100.0,880.0,AUS,AUS,830.0,940.0,50084.4440606385,81.0,10.08958244,24190907.0
2017.0,AUS,100.0,840.0,AUS,AUS,780.0,900.0,54117.547718609,83.0,10.10880566,24592588.0
